epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2509.71,0.50499,0.36083,1.03284,0.99851,1,0.995,0.87046,0.58601,0.34059,0.85346,0.000386973,0.000386973,0.000386973
45,2565.4,0.47844,0.34294,1.01777,0.9985,1,0.995,0.85863,0.56079,0.33597,0.85513,0.000347561,0.000347561,0.000347561
46,2620.51,0.45901,0.33386,0.99675,0.99847,1,0.995,0.89593,0.4297,0.34953,0.7944,0.000309964,0.000309964,0.000309964
47,2675.56,0.46945,0.33268,1.02002,0.99847,1,0.995,0.8917,0.47295,0.33464,0.88079,0.000274287,0.000274287,0.000274287
48,2730.07,0.45497,0.32468,0.99278,0.99847,1,0.995,0.8949,0.45801,0.3319,0.84099,0.000240625,0.000240625,0.000240625
49,2784.36,0.46587,0.31776,1.0121,0.99849,1,0.995,0.89412,0.45068,0.31234,0.80225,0.000209073,0.000209073,0.000209073
50,2838.68,0.40786,0.31272,0.9944,0.99851,1,0.995,0.88825,0.5158,0.3255,0.85109,0.000179716,0.000179716,0.000179716
51,2893.39,0.41775,0.31078,0.99005,0.99851,1,0.995,0.88483,0.47179,0.29697,0.8258,0.000152635,0.000152635,0.000152635
52,2950.48,0.42219,0.30893,0.99731,0.99849,1,0.995,0.89346,0.4641,0.31491,0.81519,0.000127904,0.000127904,0.000127904
53,3007.95,0.42562,0.30684,0.995,0.99852,1,0.995,0.88282,0.47618,0.35104,0.815,0.00010559,0.00010559,0.00010559
54,3062.88,0.38955,0.29384,0.97184,0.99853,1,0.995,0.89232,0.44829,0.32117,0.81829,8.57554e-05,8.57554e-05,8.57554e-05
55,3116.37,0.3912,0.29983,0.96953,0.99852,1,0.995,0.90272,0.4374,0.30524,0.81307,6.8454e-05,6.8454e-05,6.8454e-05
56,3170.52,0.40157,0.29264,0.98339,0.99853,1,0.995,0.89224,0.45532,0.29969,0.79675,5.37334e-05,5.37334e-05,5.37334e-05
57,3224.06,0.38991,0.29294,0.95239,0.99851,1,0.995,0.91639,0.39637,0.28125,0.76562,4.16339e-05,4.16339e-05,4.16339e-05
58,3280.1,0.39609,0.29584,0.98628,0.99852,1,0.995,0.92538,0.36381,0.27762,0.75679,3.21885e-05,3.21885e-05,3.21885e-05
59,3345.59,0.39974,0.29491,0.97155,0.99851,1,0.995,0.91985,0.37691,0.28567,0.76436,2.54233e-05,2.54233e-05,2.54233e-05
60,3403.28,0.40154,0.29106,0.9629,0.9985,1,0.995,0.9055,0.4017,0.29844,0.77473,2.13568e-05,2.13568e-05,2.13568e-05
